DoctorID,Name,City,Specialty,Fee,Contact,Email,LocationScore,PriceScore
DOC-023,Dr. Atif Riaz,Faisalabad,Veterinary,1200,03221234569,dratif.riaz@gmail.com,0.85,0.72
DOC-024,Dr. Shakeel Raza,Multan,Veterinary,850,03231234560,drshakeel.raza@gmail.com,0.85,0.86
DOC-025,Dr. Pervez Elahi,Gujranwala,Veterinary,750,03241234561,drpervez.elahi@gmail.com,0.75,0.9
DOC-026,Dr. Tanveer Ahmed,Rawalpindi,Veterinary,1400,03251234562,drtanveer.ahmed@gmail.com,0.85,0.64
DOC-027,Dr. Munir Akhtar,Lahore,Veterinary,1700,03261234563,drmunir.akhtar@gmail.com,1.0,0.52
DOC-028,Dr. Irfan Saleem,Karachi,Veterinary,2200,03271234564,drirfan.saleem@gmail.com,1.0,0.32
DOC-029,Dr. Ghulam Rasool,Islamabad,Veterinary,2800,03281234565,drghulam.rasool@gmail.com,1.0,0.08
DOC-030,Dr. Mohsin Javed,Hyderabad,Veterinary,1000,03291234566,drmohsin.javed@gmail.com,0.65,0.8
DOC-031,Dr. Fahad Gondal,Sargodha,Veterinary,700,03301234567,drfahad.gondal@gmail.com,0.75,0.92
DOC-032,Dr. Omer Hayat,Lahore,Veterinary,1900,03311234568,dromer.hayat@gmail.com,1.0,0.44
DOC-033,Dr. Zafar Iqbal,Faisalabad,Veterinary,1300,03321234569,drzafar.iqbal@gmail.com,0.85,0.68
DOC-034,Dr. Aslam Cheema,Multan,Veterinary,950,03331234560,draslam.cheema@gmail.com,0.85,0.82
DOC-035,Dr. Rehan Mughal,Gujranwala,Veterinary,800,03341234561,drrehan.mughal@gmail.com,0.75,0.88
DOC-036,Dr. Danish Gill,Rawalpindi,Veterinary,1200,03351234562,drdanish.gill@gmail.com,0.85,0.72
DOC-037,Dr. Salman Warraich,Lahore,Veterinary,2000,03361234563,drsalman.warraich@gmail.com,1.0,0.4
DOC-038,Dr. Umair Sarwar,Karachi,Veterinary,1800,03371234564,drumair.sarwar@gmail.com,1.0,0.48
DOC-039,Dr. Faisal Dogar,Islamabad,Veterinary,3000,03381234565,drfaisal.dogar@gmail.com,1.0,0.0
DOC-040,Dr. Kashif Bhatti,Sargodha,Veterinary,750,03391234566,drkashif.bhatti@gmail.com,0.75,0.9
DOC-041,Dr. Waqar Noon,Lahore,Veterinary,1400,03401234567,drwaqar.noon@gmail.com,1.0,0.64
DOC-042,Dr. Mudassar Toor,Faisalabad,Veterinary,900,03411234568,drmudassar.toor@gmail.com,0.85,0.84
DOC-043,Dr. Ejaz Virk,Multan,Veterinary,1000,03421234569,drejaz.virk@gmail.com,0.85,0.8
DOC-044,Dr. Zahid Langah,Gujranwala,Veterinary,650,03431234560,drzahid.langah@gmail.com,0.75,0.94
DOC-045,Dr. Navid Chattha,Rawalpindi,Veterinary,1600,03441234561,drnavid.chattha@gmail.com,0.85,0.56
DOC-046,Dr. Sardar Aziz,Lahore,Veterinary,2200,03451234562,drsardar.aziz@gmail.com,1.0,0.32
DOC-047,Dr. Babar Sheikh,Karachi,Veterinary,1500,03461234563,drbabar.sheikh@gmail.com,1.0,0.6
DOC-048,Dr. Nabeel Sandhu,Islamabad,Veterinary,2600,03471234564,drnabeel.sandhu@gmail.com,1.0,0.16
DOC-049,Dr. Haris Noon,Sargodha,Veterinary,850,03481234565,drharis.noon@gmail.com,0.75,0.86
DOC-050,Dr. Shahbaz Tarar,Lahore,Veterinary,1100,03491234566,drshahbaz.tarar@gmail.com,1.0,0.76
DOC-051,Dr. Zia Ur Rahman,Faisalabad,Veterinary,1000,03501234567,drzia.rahman@gmail.com,0.85,0.8
DOC-052,Dr. Yasir Chohan,Multan,Veterinary,900,03511234568,dryasir.chohan@gmail.com,0.85,0.84
DOC-053,Dr. Awais Niazi,Gujranwala,Veterinary,700,03521234569,drawais.niazi@gmail.com,0.75,0.92
DOC-054,Dr. Arslan Bajwa,Rawalpindi,Veterinary,1300,03531234560,drarslan.bajwa@gmail.com,0.85,0.68
DOC-055,Dr. Talha Chaudhry,Lahore,Veterinary,1700,03541234561,drtalha.chaudhry@gmail.com,1.0,0.52
DOC-056,Dr. Qasim Javed,Karachi,Veterinary,2100,03551234562,drqasim.javed@gmail.com,1.0,0.36
DOC-057,Dr. Hammad Zaheer,Islamabad,Veterinary,2400,03561234563,drhammad.zaheer@gmail.com,1.0,0.24
DOC-058,Dr. Osama Arif,Hyderabad,Veterinary,950,03571234564,drosama.arif@gmail.com,0.65,0.82
DOC-059,Dr. Saeed Baloch,Quetta,Veterinary,600,03581234565,drsaeed.baloch@gmail.com,0.65,0.96
DOC-060,Dr. Mirza Hassan,Sargodha,Veterinary,800,03591234566,drmirza.hassan@gmail.com,0.75,0.88
DOC-061,Dr. Saif Ullah,Lahore,Veterinary,1500,03601234567,drsaif.ullah@gmail.com,1.0,0.6
DOC-062,Dr. Tariq Jilani,Faisalabad,Veterinary,1100,03611234568,drtariq.jilani@gmail.com,0.85,0.76
DOC-063,Dr. Raza Haider,Multan,Veterinary,1000,03621234569,drraza.haider@gmail.com,0.85,0.8
DOC-064,Dr. Malik Shahzad,Gujranwala,Veterinary,750,03631234560,drmalik.shahzad@gmail.com,0.75,0.9
DOC-065,Dr. Bilal Chaudhry,Rawalpindi,Veterinary,1200,03641234561,drbilal.chaudhry@gmail.com,0.85,0.72
DOC-066,Dr. Amjad Pervez,Lahore,Veterinary,1800,03651234562,dramjad.pervez@gmail.com,1.0,0.48
DOC-067,Dr. Rana Tauqeer,Karachi,Veterinary,2300,03661234563,drrana.tauqeer@gmail.com,1.0,0.28
DOC-068,Dr. Arshad Manzoor,Islamabad,Veterinary,2700,03671234564,drarshad.manzoor@gmail.com,1.0,0.12
DOC-069,Dr. Naeem Gujjar,Sargodha,Veterinary,700,03681234565,drnaeem.gujjar@gmail.com,0.75,0.92
DOC-070,Dr. Hassan Nawaz,Lahore,Veterinary,1300,03691234566,drhassan.nawaz@gmail.com,1.0,0.68
DOC-071,Dr. Aftab Virk,Faisalabad,Veterinary,900,03701234567,draftab.virk@gmail.com,0.85,0.84
DOC-072,Dr. Imtiaz Gill,Multan,Veterinary,850,03711234568,drimtiaz.gill@gmail.com,0.85,0.86
DOC-073,Dr. Ashfaq Mughal,Gujranwala,Veterinary,700,03721234569,drashfaq.mughal@gmail.com,0.75,0.92
DOC-074,Dr. Wajid Gondal,Rawalpindi,Veterinary,1400,03731234560,drwajid.gondal@gmail.com,0.85,0.64
DOC-075,Dr. Mazhar Dogar,Lahore,Veterinary,2000,03741234561,drmazhar.dogar@gmail.com,1.0,0.4
DOC-076,Dr. Daniyal Qazi,Karachi,Veterinary,1700,03751234562,drdaniyal.qazi@gmail.com,1.0,0.52
DOC-077,Dr. Farhaan Syed,Islamabad,Veterinary,2900,03761234563,drfarhaan.syed@gmail.com,1.0,0.04
DOC-078,Dr. Umar Awan,Sargodha,Veterinary,650,03771234564,drumar.awan@gmail.com,0.75,0.94
DOC-079,Dr. Jamal Uddin,Lahore,Veterinary,1600,03781234565,drjamal.uddin@gmail.com,1.0,0.56
DOC-080,Dr. Iqbal Hussain,Faisalabad,Veterinary,1000,03791234566,driqbal.hussain@gmail.com,0.85,0.8
DOC-081,Dr. Mujahid Butt,Multan,Veterinary,900,03801234567,drmujahid.butt@gmail.com,0.85,0.84
DOC-082,Dr. Noman Arshad,Gujranwala,Veterinary,800,03811234568,drnoman.arshad@gmail.com,0.75,0.88
DOC-083,Dr. Waleed Khan,Rawalpindi,Veterinary,1100,03821234569,drwaleed.khan@gmail.com,0.85,0.76
DOC-084,Dr. Samiullah Malik,Lahore,Veterinary,1500,03831234560,drsamiullah.malik@gmail.com,1.0,0.6
DOC-085,Dr. Abdul Rauf,Karachi,Veterinary,2000,03841234561,drabdul.rauf@gmail.com,1.0,0.4
DOC-086,Dr. Shafiq Rehman,Islamabad,Veterinary,2500,03851234562,drshafiq.rehman@gmail.com,1.0,0.2
DOC-087,Dr. Asjad Aslam,Sargodha,Veterinary,750,03861234563,drasjad.aslam@gmail.com,0.75,0.9
DOC-088,Dr. Jawad Khokhar,Lahore,Veterinary,1400,03871234564,drjawad.khokhar@gmail.com,1.0,0.64
DOC-089,Dr. Fiaz Khurshid,Faisalabad,Veterinary,1200,03881234565,drfiaz.khurshid@gmail.com,0.85,0.72
DOC-090,Dr. Sadiq Bhinder,Multan,Veterinary,950,03891234566,drsadiq.bhinder@gmail.com,0.85,0.82
DOC-091,Dr. Rashid Asghar,Gujranwala,Veterinary,700,03901234567,drrashid.asghar@gmail.com,0.75,0.92
DOC-092,Dr. Mudassir Ranjha,Rawalpindi,Veterinary,1300,03911234568,drmudassir.ranjha@gmail.com,0.85,0.68
DOC-093,Dr. Shahid Mehmood,Lahore,Veterinary,1900,03921234569,drshahid.mehmood@gmail.com,1.0,0.44
DOC-094,Dr. Zeeshan Rauf,Karachi,Veterinary,2100,03931234560,drzeeshan.rauf@gmail.com,1.0,0.36
DOC-095,Dr. Sikandar Hayat,Islamabad,Veterinary,2600,03941234561,drsikandar.hayat@gmail.com,1.0,0.16
DOC-096,Dr. Ahsan Shafi,Sargodha,Veterinary,500,03951234562,drahsan.shafi@gmail.com,0.75,1.0
DOC-097,Dr. Kamran Jamil,Lahore,Veterinary,1700,03961234563,drkamran.jamil@gmail.com,1.0,0.52
DOC-098,Dr. Mehboob Baig,Faisalabad,Veterinary,1000,03971234564,drmehboob.baig@gmail.com,0.85,0.8
DOC-099,Dr. Azam Cheema,Multan,Veterinary,850,03981234565,drazam.cheema@gmail.com,0.85,0.86
DOC-100,Dr. Junaid Shabbir,Gujranwala,Veterinary,750,03991234566,drjunaid.shabbir@gmail.com,0.75,0.9
DOC-101,Dr. Ammar Bhatti,Bahawalpur,Veterinary,600,03001234577,drammar.bhatti@gmail.com,0.65,0.96
DOC-102,Dr. Waheed Tabassum,Sialkot,Veterinary,900,03011234578,drwaheed.tabassum@gmail.com,0.75,0.84
